S.no.,NAME OF STATE ,NAME OF DISTRICT,Recharge from rainfall During Monsoon Season,Recharge from other sources During Monsoon Season,Recharge from rainfall During Non Monsoon Season,Recharge from other sources During Non Monsoon Season,Total Annual Ground Water Recharge,Available Ground Water ,Current Annual Ground Water Extraction For Irrigation,Total Ground Water,Net Ground Water Availability for future use,Stage of Ground Water Extraction (%)
523,TAMILNADU,SIVAGANGAI,26822.9,50315.45,4798.92,17586.28,99523.56,89571.2,14856.57,16272.31,73013.15,18.17
524,TAMILNADU,THANJAVUR,32171.27,35411.26,5325.1,9286.96,82194.59,73975.13,78884.05,81291.47,6711.2,109.89
525,TAMILNADU,THENI,13005.96,14074.61,8006.47,8202.44,43289.49,38960.55,28293.8,29048.01,10145.94,74.56
526,TAMILNADU,THIRUPPUR,19872.46,11392.7,6161.4,9803.14,47229.7,42506.73,47882.48,51208.63,1886.65,120.49
527,TAMILNADU,THIRUVALLUR,23141.54,63181.84,2168.28,2429.3,90920.97,81828.87,32107.97,57043.28,27100.09,69.71
528,TAMILNADU,THOOTHUKUDI,20284.35,22351.34,5735.75,6654.35,55025.79,49523.21,19781.45,21310.42,28938.53,43.03
529,TAMILNADU,TIRUNELVELI,29814.35,57379.94,9243.99,7563.91,104002.19,93601.97,58482.78,60488.31,40445.45,64.62
530,TAMILNADU,TIRUVANNAMALAI,36683.6,66936.05,4754.19,4419.76,112793.6,101514.24,102551.85,112605.02,3654.01,110.93
531,TAMILNADU,TIRUVARUR,9135.19,12168.1,1219.51,5641.15,28163.95,25347.55,21088.85,22372.48,5801.64,88.26
532,TAMILNADU,TRICHY,24011.32,34460.28,4465.68,5802.74,68740.03,61866.02,48016.29,55409.92,17031.14,89.56
533,TAMILNADU,VELLORE,24609.67,25744.61,7427.74,4897.06,62679.08,56411.17,53587.85,66447.9,5438.81,117.79
534,TAMILNADU,VILLUPURAM,29872.61,106907.54,28146.37,10725.46,175651.98,158086.78,139172.92,144185.17,26278.65,91.21
535,TAMILNADU,VIRUTHUNAGAR,23544.7,18698.96,6935.56,9119.2,58298.42,52468.58,32267.95,34161.57,20007.23,65.11
536,TELANGANA,ADILABAD,19190.11,1727.33,4064.27,3940.11,28921.82,26271.88,13717.99,16614.32,9151.28,63.24
537,TELANGANA,BHADRADRI KOTHAGUDEM,57693.51,2365.17,16717.87,4993.12,81769.67,74057.76,16405.4,19934.44,53451.64,26.92
538,TELANGANA,HYDERABAD,911.96,1672.36,352.13,1672.36,4608.79,4147.91,0,14164.39,0,341.48
539,TELANGANA,JAGTIAL,20699.16,7780.69,4835.11,13689.23,47004.19,42373.83,26861.89,31222.75,12204.45,73.68
540,TELANGANA,JANGAON,18871.46,2499.81,4994.81,6614.92,32980.99,30094.9,25735.52,27792.83,2586.98,92.35
541,TELANGANA,JAYASHANKAR BHUPALAPALLY,37709.62,7514.73,6131.88,13431.64,64787.87,59030.83,29076.75,31091.3,27418.25,52.67
542,TELANGANA,JOGULAMBA GADWAL,12506.76,1804.72,4126.24,2435.65,20873.38,18786.74,8141.88,8669,9433.47,46.14
543,TELANGANA,KAMAREDDY,26524,6584,7155,10673,50936,46636,34151,35993,9169,77.18
544,TELANGANA,KARIMNAGAR,16981.22,3248.98,3756.82,12725.44,36712.47,33160.4,22993.35,24965.77,7124.14,75.29
545,TELANGANA,KHAMMAM,38183.81,4736.4,10959.93,10349.66,64229.79,58886.02,34172.06,38115.01,21943.88,64.73
546,TELANGANA,KOMARAMBHEM ASIFABAD,31819,703,1596,1261,35379,32352,5321,7337,24694,22.68
547,TELANGANA,MAHABUBABAD,22106.49,5422.6,6112.54,9853.63,43495.26,40081.36,26071.31,28885.65,11062.07,72.07
548,TELANGANA,MAHABUBNAGAR,28664,5198,9113,9060,52035,47307,28684,32317,14472,68.31
549,TELANGANA,MANCHERIAL,38003.6,6021.23,6086.12,8819.81,58930.76,53580.95,20352.31,21981.6,30605.99,41.03
550,TELANGANA,MEDAK,24610,4758,3688,9799,42855,38571,23699,24608,12078,63.8
551,TELANGANA,MEDCHAL MALKAJGIRI,5263.44,487.64,1814.98,1048.73,8614.78,7753.01,2772.21,7286,882.52,93.98
552,TELANGANA,NAGARKURNOOL,32450,2887.51,12322.79,5996.66,53656.96,48291.26,27430.42,31824.76,15762.08,65.9
553,TELANGANA,NALGONDA,38917,8964,11369,23833,83083,75324,49929,55920,19150,74.24
554,TELANGANA,NIRMAL,33194,7171,5800,9517,55682,50469,16670,18718,31524,37.09
555,TELANGANA,NIZAMABAD,34984,13276,8087,26037,82384,74892,51289,56495,18336,75.44
556,TELANGANA,PEDDAPALLI,19081.14,5680.07,3848.87,15341.78,43951.86,39949.2,19149.09,20864.15,17936.8,52.23
557,TELANGANA,RAJANNA SIRCILLA,14713.49,2454.05,3796.08,5348.5,26312.12,24324.21,18435.91,19997.84,4584.19,82.21
558,TELANGANA,RANGAREDDY,24084.67,3480.65,8830.46,5512.78,41908.57,37987.6,25165.12,30881.04,6309.26,81.29
559,TELANGANA,SANGAREDDY,27589.54,3488.21,5755.72,5366.92,42200.39,38071.12,23411.78,26876.41,10038.84,70.6
560,TELANGANA,SIDDIPET,24946.64,7302.23,6758.71,12670,51677.58,46510.02,39812.83,43608.24,3291.51,93.76
561,TELANGANA,SURYAPET,21026.47,9794.01,7303.85,16665.05,54789.38,49896.38,27842.01,30568.73,17901.49,61.26
562,TELANGANA,VIKARABAD,23528,2169,5951,4624,36272,33069,15629,18624,13695,56.32
563,TELANGANA,WANAPARTHY,10459.02,2539.45,2335.44,3549.01,18882.92,17200.43,10013.16,11535.68,5123.99,67.07
564,TELANGANA,WARANGAL RURAL,16327.79,4593.01,4491.13,10125.37,35537.3,32017.51,25537.9,27584.14,4849.78,86.15
565,TELANGANA,WARANGAL URBAN,12206,2615,2666,4802,22289,20167,17145,18340,3373,90.94
566,TELANGANA,YADADRI BHONGIRI,22949.72,2663.52,7044.47,6477.54,39135.24,35450.24,23742,26580,7907.24,74.98
567,TRIPURA,DHALAI,11265.37,656.58,8257.26,3331.22,23510.43,17584.62,40.8,888.58,16236.22,5.05
568,TRIPURA,GOMATI,11739.85,1072.32,5836.87,4345.33,22994.37,20148.37,84.61,913.59,18890.73,4.53
569,TRIPURA,KHOWAI,7584.64,789.87,2548.52,2894.72,13817.75,10814.47,306.6,918.44,9688.6,8.49
570,TRIPURA,NORTH TRIPURA,6316.06,561.53,4871.52,2380.68,14129.79,10818.86,32.4,941.9,9446.63,8.71
571,TRIPURA,SEPAHIJALA,11043.65,872.91,5144.18,3548.44,20609.18,16791.75,704.05,1654.94,14790.79,9.86
572,TRIPURA,SOUTH TRIPURA,12231.78,889.75,5538.72,3604.37,22264.62,18098.87,172.07,1048.41,16724.65,5.79
573,TRIPURA,UNAKOTI,6787.36,629.7,4257.61,2520.58,14195.25,12668.38,4.81,611.19,11776.27,4.82
574,TRIPURA,WEST TRIPURA,13198.11,861.61,3559.33,3427.93,21046.98,16965.92,624.28,2782.19,13695.47,16.4
575,UTTARPRADESH,AGRA,54040.98,13500.6,809.86,22875.05,91226.49,84758.5,83464.26,91118.45,8384.66,107.5
576,UTTARPRADESH,ALIGARH,49646.35,12936.07,3085.12,29753.61,95421.14,89024.52,51082.36,61303.27,29381.42,68.86
577,UTTARPRADESH,AMBEDKAR NAGAR,48480.2,12412.1,387.88,18042.08,79322.26,74702.33,50783.94,56318.07,16528.64,75.39
578,UTTARPRADESH,AMETHI,29779.26,20034.79,891.89,29588.6,80294.55,75090.37,43561.74,47999.52,26334.5,63.92
579,UTTARPRADESH,AMROHA,30025.02,6680.28,2016.91,11091.14,49813.35,47037.04,44832.01,49189.05,2671.09,104.58
580,UTTARPRADESH,AURAIYA,32681.61,11385.11,1414.93,23369.73,68851.38,63284.49,28326.2,31550.57,31411.54,49.86
581,UTTARPRADESH,AYODHYA,43945.3,16505.28,715.75,30284.05,91450.38,86299.96,50701.6,57030.5,27936.56,66.08
582,UTTARPRADESH,AZAMGARH,74575.42,22270.91,0,31798.42,128644.75,121709.84,66875.61,78999.27,40274.16,64.91
583,UTTARPRADESH,BAGPAT,16241.39,7858.98,1222.67,14685.75,40008.8,37773.55,32572.1,35067.77,3767.36,92.84
584,UTTARPRADESH,BAHRAICH,80478.62,14509.37,3863.07,21937.47,120788.53,114444.88,51267.29,60014.95,52858.97,52.44
585,UTTARPRADESH,BALLIA,56154.46,12408.07,547.5,19042.18,88152.21,83422.96,45675.11,53014.74,29101.36,63.55
586,UTTARPRADESH,BALRAMPUR,59960.6,14533.09,6223.69,19507.38,100224.75,90538.81,40778.51,46266.96,43142.89,51.1
587,UTTARPRADESH,BANDA,48688.53,5720.51,519.79,8403.06,63331.9,59608.51,36116.28,40153.75,17304.3,67.36
588,UTTARPRADESH,BARABANKI,65704.92,37408.1,1657.39,73843.3,178613.71,165383.56,101396.2,109526.52,54457.15,66.23
589,UTTARPRADESH,BAREILLY,85842.96,16070.04,3116.14,30261.75,135290.89,127520.48,71803.57,85368.75,43777.07,66.95
590,UTTARPRADESH,BASTI,60193.08,5353.54,829.3,9014.97,75390.88,71621.34,41045.45,47036.01,23754.84,65.67
591,UTTARPRADESH,BIJNOR,86091.85,18620.56,6117.09,33226.83,144056.32,136350.76,86514.45,93813.66,42652.39,68.8
592,UTTARPRADESH,BUDAUN,61235,5039.39,967.46,11959.1,79200.95,73955.42,52041.7,59796.17,14540.14,80.85
593,UTTARPRADESH,BULANDSHAHAR,48917.7,40862.05,2414.01,76782,168975.76,158312.47,135089.69,141664.36,21867.06,89.48
594,UTTARPRADESH,CHANDAULI,32876.62,11624.68,0,14344.8,58846.1,53081.05,22462.29,26745.44,25762.47,50.39
595,UTTARPRADESH,CHITRAKOOT,29037.47,3969.77,305.35,5832.29,39144.88,36652.78,27475.14,29977.54,5202.74,81.79
596,UTTARPRADESH,DEORIA,50234.5,10512.42,1529.91,14509.8,76786.62,72679.53,39430.31,47098.68,24193.96,64.8
597,UTTARPRADESH,ETAH,32988.78,9078.99,1477.22,17169.87,60714.87,57189.46,41770.55,46054.52,10604.68,80.53
598,UTTARPRADESH,ETAWAH,40920.99,16268.42,985.43,29692.86,87867.7,79080.93,27552.56,30768.07,47848.95,38.91
599,UTTARPRADESH,FARRUKHABAD,37290.7,5536.22,1221.68,10814.67,54863.27,50609.47,34226.52,38036.13,11972.71,75.16
600,UTTARPRADESH,FATEHPUR,92381.39,32131.29,3736.63,32809.47,161058.78,148504.76,97567.5,104182.87,43823.48,70.15
601,UTTARPRADESH,FIROZABAD,38143.78,11166.01,4737.44,21617.06,75664.29,70630.98,72524.96,78679.13,9227.1,111.39
602,UTTARPRADESH,G.B.NAGAR,18927.78,16996.04,3062.92,26117.45,65104.18,60546.55,62501.84,66395.26,1646.99,109.66
603,UTTARPRADESH,GHAZIABAD,15248.13,9630.54,1078.71,15185.93,41143.3,37028.97,35693.32,47530.76,1339.6,128.36
604,UTTARPRADESH,GHAZIPUR,65387.57,15562.32,959.92,16217.3,98127.11,91141.91,50062,58334.48,31529.04,64
605,UTTARPRADESH,GONDA,61820.53,12589.33,2545.99,18645.26,95601.11,90330.41,47157.64,55880.53,32720.27,61.86
606,UTTARPRADESH,GORAKHPUR,85839.68,9482.4,2119.44,14705.26,112146.78,104716.15,56120.27,66990.36,36127.16,63.97
607,UTTARPRADESH,HAMIRPUR,34762.18,4275.54,0,6166.73,45204.45,42944.22,28369.07,30940.61,11518.21,72.05
608,UTTARPRADESH,HAPUR,15797.11,10369.85,1372.92,20650.31,48190.18,45780.67,45976.1,49141.16,1300.77,107.34
609,UTTARPRADESH,HARDOI,103582.92,28853.47,5035.7,47625.88,185097.97,171280.33,95005.91,103751.02,66192.41,60.57
610,UTTARPRADESH,HATHRAS,25389.59,11542.18,579.04,21193.24,58704.04,55110.17,52158.42,55931.81,6492.45,101.49
611,UTTARPRADESH,JALAUN,75624.25,11964.17,949.24,24573.13,113110.78,106082.82,48282.6,52322.32,52359.23,49.32
612,UTTARPRADESH,JAUNPUR,80060.78,25142.16,0,56046.01,161248.95,145569.78,99366.93,111434.27,35310.72,76.55
613,UTTARPRADESH,JHANSI,47087.9,18944.73,0,23355,89387.63,84908.3,39230.56,42157.15,42215.07,49.65
614,UTTARPRADESH,KANNAUJ,36390.39,10045.28,1667.91,22843.22,70946.8,65808.21,39762.58,43783.83,26764.71,66.53
615,UTTARPRADESH,KANPUR DEHAT,56928.14,14283.85,461.52,24834.55,96508.06,89083.05,58668.52,62663.6,26042.2,70.34
616,UTTARPRADESH,KANPUR NAGAR,48539.34,13425.34,2018.08,27006.71,90989.47,85015.55,59126.97,67365.28,18108.75,79.24
617,UTTARPRADESH,KASGANJ,30332.49,11877.15,1631.7,17712.82,61554.16,58476.45,38406.88,42017.91,15807.9,71.85
618,UTTARPRADESH,KAUSHAMBI,37628.32,8930.82,5491.85,12541.28,64592.28,59146.64,38065.54,42099.18,16554.35,71.18
619,UTTARPRADESH,KUSHI NAGAR,69847.29,29979,2246.95,38474.33,140547.58,131108.59,60855.26,77852.97,49973.88,59.38
620,UTTARPRADESH,LAKHIMPUR KHERI,139297.98,25337.79,22814.2,53109.61,240559.58,223926.75,115738.38,126343.54,94897.16,56.42
621,UTTARPRADESH,LALITPUR,20245.42,4333.01,0,17547.65,42126.08,40019.77,28703.37,31348.86,6295.53,78.33
622,UTTARPRADESH,LUCKNOW,35678.01,16942.95,1198.57,26052.81,79872.34,75575.86,35690.03,49381.7,29458.24,65.34
623,UTTARPRADESH,MAHOBA,10378.64,5221.63,0,7286.19,22886.46,21742.14,17674.5,19083.79,2934.78,87.77
624,UTTARPRADESH,MAHRAJGANJ,56512.35,19830.46,1979,23500.74,101822.55,96731.42,53160.56,59230.26,36351.01,61.23
625,UTTARPRADESH,MAINPURI,37500.81,18600.7,1109.04,33584.54,90795.09,86255.34,55983.23,60174.46,27738.59,69.76
626,UTTARPRADESH,MATHURA,43531.96,25865.59,769.69,41557.73,111724.97,105152.63,75651.09,81562.8,26381.65,77.57
627,UTTARPRADESH,MAUNATH BHANJAN,33104.83,7683.02,6223.69,11449.11,58460.65,52983.09,27563.71,33221.6,18538.21,62.7
628,UTTARPRADESH,MEERUT,39395.08,12913.37,2877.38,21237.38,76423.22,71928.34,49980.17,60428.57,15185.07,84.01
629,UTTARPRADESH,MIRZAPUR,27948.05,11501.73,58.07,14951.43,54459.28,50055.58,24703.63,30786.8,18300.46,61.51
630,UTTARPRADESH,MORADABAD,40768.81,10703.75,1858.61,16881.3,70212.48,65617.15,48160.81,58623.66,8496.81,89.34
631,UTTARPRADESH,MUZAFFARNAGAR,42952.08,25623.77,3128.12,41464.84,113168.8,107510.36,70542,76895.51,30817.63,71.52
632,UTTARPRADESH,PILIBHIT,86262.48,16574.21,4326.6,26957.77,134121.06,126909.71,57893.86,62846.46,63373.6,49.52
633,UTTARPRADESH,PRATAPGARH,71211.58,30365.59,0,38369.33,139946.5,128693.44,95709.82,103263.98,29417.57,80.24
634,UTTARPRADESH,PRAYAGRAJ,68331.06,37977.88,1666.59,47373.7,155349.22,146102.76,86809.93,102076.47,43692.61,69.87
635,UTTARPRADESH,RAIBARELI,65473.62,20982.23,1502.33,31971.25,119929.44,112741.13,60950.3,67366.13,44222,59.75
636,UTTARPRADESH,RAMPUR,43927.85,11981.93,1837.13,19183.34,76930.24,71375.19,48930.24,53641.89,19063.37,75.15
637,UTTARPRADESH,SAHARANPUR,62214.78,23996.48,5802.52,36712.56,128726.34,120495.84,137850.68,144578.09,6992.94,119.99
638,UTTARPRADESH,SAMBHAL,33845.47,3295.99,2039.1,5272.63,44453.19,41999.33,33338.43,38459.58,3596.46,91.57
639,UTTARPRADESH,SANT KABIR NAGAR,36822.68,3826.46,320.31,7634.51,48603.96,46173.76,23768.03,31211.58,11153.35,67.6
640,UTTARPRADESH,SANT RAVIDAS NAGAR,19703.47,7363.59,0,9621.43,36688.49,33245.66,24716.29,28453.38,4356.39,85.59
641,UTTARPRADESH,SHAHJAHANPUR,81647.73,14921.22,5091.85,25264.4,126925.2,120578.94,65481.86,73142.52,45895.79,60.66
642,UTTARPRADESH,SHAMLI,19784.03,8115.55,1544.69,13071.07,42515.34,40389.58,40899.32,44128.66,2146.67,109.26
643,UTTARPRADESH,SHRAWASTI,35364.72,5368.75,3827.78,8103.08,52664.33,47859.41,24258.46,27119.1,20139.71,56.66
644,UTTARPRADESH,SIDDHARTH NAGAR,63433.13,10634.5,1352.15,16432.15,91851.94,87259.34,47404.43,53964.15,31934.71,61.84
645,UTTARPRADESH,SITAPUR,105889,36408.38,4825.94,63271.66,210394.98,196914.28,107818.2,117925.18,77037.82,59.89
646,UTTARPRADESH,SONBHADRA,13555.99,6893.95,0,4101.13,24551.07,23197.19,9190.83,12959.22,9460.48,55.87
647,UTTARPRADESH,SULTANPUR,33267.92,37695.56,499.33,50863.87,122326.68,111858.56,49392.88,55129.85,55868.1,49.29
648,UTTARPRADESH,UNNAO,76364.2,40341.81,0,70428.46,187134.46,176693.76,100951.63,108712.29,66518.66,61.53
649,UTTARPRADESH,VARANASI,32551.95,7722.67,342.17,13545.34,54162.12,48745.91,38544.6,48620.11,5198.09,99.74
650,UTTARAKHAND,DEHRADUN,46898.4,4662.73,1655,3143.27,56359.4,53541.4,7588.5,14743.5,38797.9,27.54
651,UTTARAKHAND,HARIDWAR,25973.2,31267.84,4735,38362.17,100338.21,95322.21,49696.86,63299.66,32022.55,66.41
652,UTTARAKHAND,NAINITAL,5835,6026.36,288,3310.96,15460.32,14687.32,4820,8324.98,6362.34,56.68
653,UTTARAKHAND,UDHAM SINGH NAGAR,36321.8,51134.86,2339,42542.33,132337.99,125721.98,68127.42,78014.32,47707.66,62.05
654,WEST BENGAL,COOCHBEHAR,185334.09,5143.37,60379.13,12100.71,262957.3,236661.59,42261.5,46708.77,188411.84,20
655,WEST BENGAL,JALPAIGURI,228086.62,3939.51,65301.46,12078.29,309405.88,278465.29,8241.2,12636.95,264315.12,5
656,WEST BENGAL,DARJEELING,39186.21,0,13052.71,0,52238.92,47015.03,1169.1,2647.15,43833.19,6
657,WEST BENGAL,UTTAR DINAJPUR,91467.43,7541.41,22166.67,24353.83,145529.34,133514.83,78133.6,82944.87,47811.9,62
658,WEST BENGAL,DAKSHIN DINAJPUR,65504.74,6432.72,17257.72,18756.55,107951.73,98836.09,50706,53324.71,44780.76,54
659,WEST BENGAL,MALDA,96263.27,9181.2,21992.81,23347.7,150784.98,136087.61,59108.6,65501.03,67150.64,48
660,WEST BENGAL,MURSHIDABAD,137803.88,19693.42,38349.83,53252.88,249100.01,225726.36,186187,196473.71,22215.54,87
661,WEST BENGAL,NADIA,113617.65,18299.88,43916.37,47699.21,223533.1,204737.62,179222.2,187339.45,14914.26,92
662,WEST BENGAL,NORTH 24-PARGANAS,105327.29,8147.66,27207.49,25564.5,166246.93,149939.31,84524.6,98929.37,46378.8,66
663,WEST BENGAL,HOWRAH,18922.39,1114.8,5987.95,6932.33,32957.47,29661.73,4970,7326.32,18653.16,25
664,WEST BENGAL,HOOGHLY,87499.21,6344.07,24032.23,21148.49,139024,125121.59,54601.8,61773.22,59850.52,49
665,WEST BENGAL,BURDWAN,170643.19,13283.39,42504.98,35214.86,261646.42,236877.76,94059.6,103667.61,127055.87,44
666,WEST BENGAL,BIRBHUM,83998.75,7628.72,20743.15,16112.27,128482.89,116573.94,36191.8,40139.94,72601.72,34
667,WEST BENGAL,BANKURA,98905.53,21562.59,24886.5,32647.44,178002.06,161769.1,69980.27,74682.48,84426.38,46
668,WEST BENGAL,PURULIA,53190.45,8011.53,14077.33,4806.45,80085.76,72724.08,2232.8,6859.89,64079.31,9
669,WEST BENGAL,PURBA MEDINIPORE,53800.58,1957.01,15434.6,10220.33,81412.52,73271.26,21562.4,24610.28,47367.42,34
670,WEST BENGAL,PASCHIM MEDINIPORE,241691.73,12698.55,68840.05,40624.33,363854.66,328863.5,110919.6,118862.75,205036.12,36
671,A&N ISLAND,NORTH & MIDDLE ANDAMAN,9776.6,9.51,110.31,2.38,9898.8,8908.92,0.8,313.7,8549.52,3.52
672,A&N ISLAND,NICOBAR,16851.09,0.65,1500.12,0.16,18352.03,16516.83,0.44,109.52,16391.36,0.66
673,A&N ISLAND,SOUTH ANDAMAN,8365.75,9.39,213.51,2.35,8591,7731.9,13.54,484.95,7190.64,6.27
674,CHANDIGARH,UT OF CHANDIGARH,1631,687,488,1410,4216,3794,58,3378,416,89
675,DADRA & NAGAR HAVELI,DADRA & NAGAR HAVELI,5737.2,137.57,330,656.82,6861.59,6518.59,750.46,2042.86,4475.73,31.34
676,DAMAN,DAMAN,1172,38,0,94,1304,1239,402,635,480,51.25
677,DIU,DIU,412,20,0,39,471,424,327,386,6,91.04
678,LAKSHADWEEP,AGATTI,93.3,0,16.9,0,110.2,36.8,0,27.1,9.7,73.64
679,LAKSHADWEEP,AMINI,89.1,0,16.2,0,105.3,35.4,0,28.7,6.8,81.07
680,LAKSHADWEEP,ANDROTH,166.5,0,30.2,0,196.7,64.8,0,41.9,22.9,64.66
681,LAKSHADWEEP,CHETLAT,35.8,0,6.5,0,42.3,14.1,0,8.7,5.4,61.7
682,LAKSHADWEEP,KADMAT,107.3,0,19.5,0,126.8,42.3,0,19.8,22.6,46.81
683,LAKSHADWEEP,KALPENI,78.5,0,14.2,0,92.7,30.9,0,16.4,14.5,53.07
684,LAKSHADWEEP,KILTAN,56.1,0,10.2,0,66.3,22.5,0,15.1,7.4,67.11
685,LAKSHADWEEP,KAVARATTI,124.9,0,22.7,0,147.6,50.3,0,41.8,8.5,83.1
686,LAKSHADWEEP,MINICOY,157.6,0,27.3,0,184.9,63.7,0,38.6,25.01,60.6
687,PUDUCHERRY,PUDUCHERRY,7035,2738.37,1775.58,3671.63,15220.58,13698.52,10338,13970.5,0,101.99
688,PUDUCHERRY,KARAIKAL,1973.73,4080.47,209.22,880.62,7144.04,6429.64,616.65,1004.32,5408.47,15.62
689,PUDUCHERRY,MAHE,245.45,0,23.11,0,268.56,241.71,0,166,65.37,68.68
